"Country","Year","CO2_emission","Continent","Population","avgT","GDP","energy_consumption"
"Colombia",2010,2531260831,"South America",44816108,25.69,"286563000000",406.9504089
"Colombia",2015,2955160135,"South America",47119728,25.58,"293482000000",480.411499
"Comoros",1970,183200,"Africa",242351,25.91,"",0.0
"Comoros",1980,512960,"Africa",328328,25.93,"212218226.4",0.191595003
"Comoros",1990,1011264,"Africa",431119,26.15,"429622147.7",0.266587585
"Comoros",2000,1824672,"Africa",536758,26.0,"351136568.4",0.438374639
"Comoros",2010,3140048,"Africa",656024,26.79,"907978724",0.704707265
"Comoros",2015,3960784,"Africa",730216,26.54,"966029542",0.756785154
"Costa Rica",1970,12901161,"North America",1855697,25.55,"984830158.5",0.0
"Costa Rica",1980,35003612,"North America",2414303,25.89,"4831447001",16.1581974
"Costa Rica",1990,59676341,"North America",3158253,26.29,"5711687787",21.78142548
"Costa Rica",2000,106265934,"North America",3979193,26.07,"15013629659",42.5745697
"Costa Rica",2010,176523334,"North America",4622252,26.23,"37658614803",54.4809227
"Costa Rica",2015,213880081,"North America",4895242,26.46,"56441917653",59.21244049
"Croatia",1970,162893423,"Europe",4492638,11.31,"",0.0
"Croatia",1980,300553653,"Europe",4680144,10.69,"",0.0
"Croatia",1990,491007740,"Europe",4873707,12.43,"",100.4531326
"Croatia",2000,668639135,"Europe",4548434,13.23,"21839780971",96.55011749
"Croatia",2010,895608467,"Europe",4368682,11.96,"60426018629",108.2629852
"Croatia",2015,989284075,"Europe",4254815,13.59,"50163192883",91.02197266
"Cuba",1970,256531117,"North America",8869636,25.41,"5693005200",0.0
"Cuba",1980,519491069,"North America",9809107,25.85,"19912889861",133.3944702
"Cuba",1990,851163188,"North America",10626680,26.13,"28645436569",145.7028046
"Cuba",2000,1085645214,"North America",11105791,25.79,"30565400000",109.7696381
"Cuba",2010,1351628574,"North America",11290417,25.63,"59562962963",133.3725433
"Cuba",2015,1495578511,"North America",11339894,26.25,"87133000000",127.649147
"Cyprus",1970,18602059,"Europe",640804,19.3,"",8.004829407
"Cyprus",1980,43652825,"Europe",679327,18.85,"2154311277",10.27866459
"Cyprus",1990,80506578,"Europe",788500,19.19,"5591130218",19.27453613
"Cyprus",2000,141929961,"Europe",948237,19.44,"9985844486",30.26110458
"Cyprus",2010,221404272,"Europe",1129686,20.95,"25732432719",34.05603409
"Cyprus",2015,256953492,"Europe",1187280,20.35,"19842404305",29.18447495
"Denmark",1970,1420463084,"Europe",4922963,-18.21,"17075457600",242.9894257
"Denmark",1980,2013419086,"Europe",5125392,-17.01,"71127528700",232.960907
"Denmark",1990,2554714449,"Europe",5144623,-17.87,"1.38247E+11",201.9610138
"Denmark",2000,3178648906,"Europe",5340655,-16.82,"1.64159E+11",236.5193939
"Denmark",2010,3720566069,"Europe",5550849,-15.09,"321995000000",232.6667023
"Denmark",2015,3919114412,"Europe",5677796,-14.93,"302673000000",199.3443451
"Djibouti",1970,1293392,"Africa",144379,28.99,"",0.0
"Djibouti",1980,3524768,"Africa",324121,29.51,"",6.345333576
"Djibouti",1990,7009232,"Africa",577173,29.3,"452328087.3",6.881986618
"Djibouti",2000,10259200,"Africa",742033,29.86,"551230861.9",3.533749104
"Djibouti",2010,14612032,"Africa",919199,29.84,"1128611700",3.623653173
"Djibouti",2015,16964137,"Africa",1006259,30.74,"2424391785",3.335404158
"Dominica",1970,227168,"North America",68895,26.42,"",0.0
"Dominica",1980,512960,"North America",72978,26.75,"72804653.33",0.147488996
"Dominica",1990,989280,"North America",69481,26.63,"201429629.6",0.262617767
"Dominica",2000,1729408,"North America",68346,26.57,"333470370.4",0.529281259
"Dominica",2010,3169360,"North America",68755,27.49,"493825926",0.779064119
"Dominica",2015,4008416,"North America",70007,26.92,"540737037",0.813067675
"Dominican Republic",1970,26898678,"North America",4475871,25.68,"1485500000",0.0
"Dominican Republic",1980,84351656,"North America",5755800,26.37,"6761300000",25.28134346
"Dominican Republic",1990,166030009,"North America",7129004,26.17,"7073675545",40.65882874
"Dominican Republic",2000,312449762,"North America",8540791,25.88,"24305717542",86.10049438
"Dominican Republic",2010,508933026,"North America",9775755,26.46,"53860175556",87.79959106
"Dominican Republic",2015,618067854,"North America",10405832,26.29,"71164825257",97.34282684
"Ecuador",1970,58900546,"South America",6172215,21.96,"2862504170",14.77302551
"Ecuador",1980,137930212,"South America",8135845,22.34,"17881514683",38.81812668
"Ecuador",1990,317859362,"South America",10449837,22.43,"15239278100",80.98210144
"Ecuador",2000,522762020,"South America",12626507,22.03,"18327764882",104.1288223
"Ecuador",2010,815439334,"South America",14989585,22.64,"69555367000",155.1942291
"Ecuador",2015,1013320438,"South America",16195902,22.26,"99290381000",188.0461426
"Egypt",1970,414147733,"Africa",34781986,22.71,"8042200452",91.431633
"Egypt",1980,743137318,"Africa",43748556,23.07,"21669908176",211.6622162
"Egypt",1990,1405401182,"Africa",57214630,23.09,"42978914311",391.3234558
"Egypt",2000,2421754260,"Africa",71371371,22.88,"99838543960",568.5334473
"Egypt",2010,4093181569,"Africa",87252413,25.15,"218984000000",895.1117554
"Egypt",2015,5162711129,"Africa",97723799,24.51,"329367000000",971.7203979
"El Salvador",1970,16235704,"North America",3619090,25.06,"1132920000",0.0
"El Salvador",1980,36829790,"North America",4508992,25.43,"3573959900",13.24420166
"El Salvador",1990,57676994,"North America",5367179,25.57,"4817542204",15.71775818
"El Salvador",2000,104455357,"North America",5958482,25.41,"11784927700",29.40266418
"El Salvador",2010,167968202,"North America",6114034,25.46,"18447920000",37.19075775
"El Salvador",2015,199860431,"North America",6231066,25.91,"23438240000",38.64464188
"Equatorial Guinea",1970,582576,"Africa",316955,25.2,"66331428.57",0.0
"Equatorial Guinea",1980,1194464,"Africa",282509,25.37,"50642880.77",0.249775529
"Equatorial Guinea",1990,2011536,"Africa",465549,25.29,"112119406.5",0.508698523
"Equatorial Guinea",2000,4092688,"Africa",684977,25.22,"1045998496",3.254553795
"Equatorial Guinea",2010,71825392,"Africa",1094524,25.9,"16314442183",30.81440163
"Equatorial Guinea",2015,124055712,"Africa",1346973,25.59,"13185496836",28.20121384
"Estonia",1970,413371852,"Europe",1361999,4.35,"",0.0
"Estonia",1980,717905218,"Europe",1476983,4.5,"",0.0
"Estonia",1990,1088858980,"Europe",1570674,6.7,"",127.5705032
"Estonia",2000,1290783940,"Europe",1396877,7.01,"5686579748",55.3528862
"Estonia",2010,1461641514,"Europe",1331535,5.04,"19523477326",73.14867401
"Estonia",2015,1553061236,"Europe",1314657,6.96,"22890762090",68.41591644
"Ethiopia",1970,11690111,"Africa",28308246,23.14,"",0.0
"Ethiopia",1980,26893080,"Africa",34945469,23.64,"",8.831874847
"Ethiopia",1990,48681060,"Africa",47878073,23.38,"12175166763",15.47638607
"Ethiopia",2000,77751946,"Africa",67031867,23.76,"8242392104",19.30459213
"Ethiopia",2010,131798817,"Africa",89237791,23.93,"29933790334",41.78668213
"Ethiopia",2015,181801151,"Africa",102471895,24.63,"64589334979",73.31639099
"Fiji",1970,5271216,"Oceania",527634,25.28,"219878482.2",0.0
"Fiji",1980,11907243,"Oceania",644582,25.28,"1202567359",4.428925991
"Fiji",1990,18728431,"Oceania",780430,25.4,"1337024782",5.428222656
"Fiji",2000,26334816,"Oceania",832509,25.84,"1678239218",7.749854565
"Fiji",2010,36922862,"Oceania",905169,25.92,"3140508836",8.298195839
"Fiji",2015,42670595,"Oceania",917200,25.94,"4682546863",7.539304256
"Finland",1970,500364105,"Europe",4606621,1.17,"11357516988",181.7085266
"Finland",1980,992497929,"Europe",4779418,0.88,"53645202423",264.6627502
"Finland",1990,1492259431,"Europe",4986545,2.94,"1.41438E+11",322.8738708
"Finland",2000,2080048895,"Europe",5176209,3.59,"1.2602E+11",359.4204712
"Finland",2010,2720121704,"Europe",5363271,1.14,"249424000000",371.8120728
"Finland",2015,2971516812,"Europe",5479461,4.06,"234534000000",329.24664310000003
"France",1970,18208175168,"Europe",50523586,12.9,"1.48456E+11",1803.216919
"France",1980,23343685021,"Europe",53713830,12.56,"7.01288E+11",2307.180664
"France",1990,27420846342,"Europe",56412897,14.04,"1.26918E+12",2657.853027
"France",2000,31428626515,"Europe",58665453,13.97,"1.36564E+12",3107.309326
"France",2010,35420170456,"Europe",62444567,13.12,"2645190000000",2997.734619
"France",2015,37143169942,"Europe",63809769,13.58,"2439190000000",2808.16626
"Gabon",1970,7753024,"Africa",597192,24.5,"323802475.5",0.0
"Gabon",1980,62391456,"Africa",749078,24.62,"4279637934",8.335314751
"Gabon",1990,116808839,"Africa",983028,24.57,"5952293766",12.64371109
"Gabon",2000,164145315,"Africa",1272935,24.57,"5080483464",11.47741318
"Gabon",2010,209004011,"Africa",1711105,25.22,"14372591916",15.76734447
"Gabon",2015,234823102,"Africa",2028517,24.84,"14383107714",20.5053215
"Gambia",1970,516624,"Africa",528731,28.14,"52296836.75",0.0
"Gambia",1980,1516896,"Africa",718586,28.09,"241080708.9",0.65475601
"Gambia",1990,3242640,"Africa",1040616,28.14,"317083373.5",0.787656486
"Gambia",2000,5506992,"Africa",1437539,28.06,"782915402.4",1.265606403
"Gambia",2010,8940160,"Africa",1937275,28.8,"1543292393",2.008688688
"Gambia",2015,11310768,"Africa",2253133,28.72,"1378176868",2.318159819
"Georgia",1970,167099559,"Asia",4800426,9.18,"",0.0
"Georgia",1980,290980122,"Asia",5145843,8.78,"",0.0
"Georgia",1990,443957769,"Asia",5391636,8.84,"7753501868",0.0
"Georgia",2000,515608620,"Asia",4265172,9.31,"3057475335",40.19374847
"Georgia",2010,565835728,"Asia",3836831,11.1,"12243505583",56.74542236
"Georgia",2015,608582745,"Asia",3771132,10.69,"14953950557",68.21339417
"Germany",1970,45798478153,"Europe",78294583,7.86,"2.15838E+11",3611.016602
"Germany",1980,56468644208,"Europe",77786703,7.73,"9.50291E+11",4239.232422
"Germany",1990,66792076951,"Europe",79370196,9.69,"1.77167E+12",4192.641602
"Germany",2000,76216668477,"Europe",81551677,10.02,"1.94798E+12",3988.179199
"Germany",2010,84896342383,"Europe",81325090,8.01,"3399670000000",3847.150146
"Germany",2015,88939195779,"Europe",82073226,9.24,"3357590000000",3778.421143
"Ghana",1970,28966913,"Africa",8861895,27.14,"2215029450",0.0
"Ghana",1980,55397343,"Africa",11865246,27.08,"4445228216",25.33165169
"Ghana",1990,87754458,"Africa",15446982,27.24,"5889174825",29.35501862
"Ghana",2000,140567572,"Africa",19665502,27.25,"4983024408",41.62735367
"Ghana",2010,220839612,"Africa",25574719,27.94,"32197272797",54.77688217
"Ghana",2015,291429885,"Africa",28870939,27.72,"49406568433",82.19619751
"Greece",1970,297964697,"Europe",8544873,15.16,"13139863636",116.3626785
"Greece",1980,707752483,"Europe",9307148,14.56,"56829664269",201.1077728
"Greece",1990,1324791889,"Europe",10302255,15.5,"97891092003",287.3124695
"Greece",2000,2233445205,"Europe",11038109,15.67,"1.30458E+11",373.0520935
"Greece",2010,3316325527,"Europe",11033783,16.37,"297125000000",374.2533264
"Greece",2015,3737664964,"Europe",10806641,17.15,"195684000000",308.3094788
"Greenland",1970,5408064,"North America",45434,-18.74,"69520026.67",0.0
"Greenland",1980,10519344,"North America",50106,-17.52,"476055288.4",2.290958881
"Greenland",1990,15207226,"North America",55599,-18.44,"1018970365",2.275315285
"Greenland",2000,21061268,"North America",56184,-17.37,"1068030830",2.976198435
"Greenland",2010,27457820,"North America",56351,-15.55,"2503156061",4.365318775
"Greenland",2015,30367495,"North America",55895,-15.41,"2499115623",3.606711626
"Grenada",1970,436016,"North America",98794,27.09,"",0.0
"Grenada",1980,912336,"North America",94838,27.41,"110900457",0.179821149
"Grenada",1990,1663456,"North America",99047,27.21,"278098763",0.525658369
"Grenada",2000,3187680,"North America",107432,27.19,"520044370.4",0.862860799
"Grenada",2010,5459360,"North America",114039,28.11,"771013259",1.174536705
"Grenada",2015,6782064,"North America",118980,27.61,"997007926",1.185046673
"Guatemala",1970,28519535,"North America",5453208,23.31,"1904000000",0.0
